,^GSPC,ES=F,NQ=F,YM=F,RTY=F,PA=F,LBS=F,UUP,ZO=F,SIL=F,CT=F,MGC=F,JPY=X,NG=F,HG=F,GC=F,ZL=F,KE=F,^IRX,ZS=F,KC=F,ZR=F,HO=F,ZC=F,RB=F,ZM=F,HE=F,CL=F,BZ=F,ZB=F,LE=F,SB=F,CC=F,GF=F,SI=F,ZN=F,ZF=F,DTB3,PL=F,EURUSD=X,OJ=F,ZT=F,AUDUSD=X,GBPUSD=X,BRLUSD=X,B0=F,trending
^GSPC,1.0,0.9999613140382825,0.9906236433133553,0.9875148172712387,0.9027845961214496,0.8743676625664891,0.824307871400533,0.7601330699913024,0.7313368395408685,0.6855831210220258,0.6541439409276484,0.6396730189739666,0.6192609542286707,0.5848055260113528,0.5289311425720736,0.5282030671931824,0.5046767549287319,0.4354926843015488,0.352526495436553,0.3510951952310738,0.3411318779645374,0.298346412975533,0.29283065326635216,0.28930509389701387,0.2694499583861156,0.26825329003038895,0.2372704283276023,0.19151635193398053,0.10364701179011716,0.022910834259122523,0.00902211825512468,-0.06592706409876752,-0.10805511853192087,-0.11779179896726219,-0.1274067446732763,-0.37814004205223806,-0.5163348760152036,-0.5210766393026586,-0.5479726166275829,-0.5647183079451591,-0.5798317085154536,-0.5901975534675001,-0.6268364990695441,-0.6764970258521246,-0.7912914995653233,,
ES=F,0.9999613140382825,1.0,0.9904818226320916,0.9880018947777586,0.9036234279255021,0.8741743753007877,0.8240637548734898,0.7604205381830245,0.7312290621885978,0.6835206705198286,0.6546503127800737,0.6397227635303957,0.6208021320831202,0.5868767253392887,0.5287573263337209,0.5286266123890477,0.5056510343426197,0.4366010079795817,0.3581652720675229,0.3524576091495721,0.34213641050648497,0.30060828790634836,0.295835064148659,0.2904609297711327,0.27225890878037534,0.2702168606504979,0.24019184943129002,0.1943322879268279,0.10651247413931378,0.01889607821811108,0.009373652570649054,-0.06506905715659948,-0.11095868572451258,-0.11694831540528357,-0.12794485003250466,-0.38238988084545045,-0.5204411583611429,-0.5177562357349791,-0.5491045245484932,-0.5662883778781156,-0.5740456409310494,-0.5943903687836408,-0.6273957068376623,-0.6786004880186686,-0.7916009095842959,,
NQ=F,0.9906236433133553,0.9904818226320916,1.0,0.9698137554717057,0.8479216682002795,0.9036491511740081,0.831545208780289,0.7490985265404553,0.7572213159918103,0.6863477255425969,0.6640681727228163,0.653050584226798,0.5558984188737178,0.5777062613369925,0.566137719763181,0.6085661875627838,0.5424676773600201,0.46733311074557243,0.2869602237468186,0.38798185985738837,0.3807027983465216,0.36799509905677114,0.3044955354252097,0.3367832119765627,0.2796276580598547,0.2853846340985282,0.258511300340008,0.2065502869396641,0.12502153383935374,0.06281709361347926,-0.02623956333543118,-0.01633673440244602,-0.1515174151147703,-0.15676945520396596,-0.05041260261759924,-0.2920177937613981,-0.4292644740805634,-0.6314072383334982,-0.5094232289634322,-0.5323601291565085,-0.6956613687464247,-0.5217684834023607,-0.5874123064153373,-0.6621533893287249,-0.7668321036960739,,
YM=F,0.9875148172712387,0.9880018947777586,0.9698137554717057,1.0,0.942773206349039,0.8664016227554526,0.782829464728185,0.7551729818030026,0.6734501528859047,0.6044958005798704,0.6174902284441006,0.6119886946486166,0.5969555057088848,0.5506923630340268,0.49062281622367293,0.48787029318428293,0.4370292580459998,0.3736514597516106,0.4859112591756327,0.2867321434850778,0.25730392167584115,0.2461384924289519,0.2720722694122991,0.23737094869133818,0.23743849134217376,0.22689968516190037,0.17660605008461852,0.1686749362830761,0.08968380406654135,-0.01476979887289018,-0.0605864143265527,-0.1291401656277737,-0.18386776514636952,-0.17572077980731704,-0.1724071774474883,-0.43659449325061833,-0.5866628423176767,-0.3886055458604847,-0.5910433459821797,-0.550504941176717,-0.553164007990927,-0.674340387942451,-0.6417401784386252,-0.7266052458840531,-0.7886832614958894,,
RTY=F,0.9027845961214496,0.9036234279255021,0.8479216682002795,0.942773206349039,1.0,0.4280066688601847,0.7963055485807405,0.08938435161224972,0.819929639234723,0.8322990211263495,0.7964264451912543,0.5721041943018905,0.466057664231273,0.6599475314487881,0.9143697154769532,0.5726807772762542,0.7833226530527834,0.6879007918248281,-0.29614062866632346,0.7684007456631701,0.8076254357680638,0.4628055968063998,0.6960709939516563,0.742461575109016,0.7366513944412157,0.677873158407885,0.7392562427327909,0.7925082699449082,0.7802162499506543,-0.36736907630996923,0.7685108336587897,0.8704365716540673,0.46845697186281376,0.7501703306386618,0.8322990211263495,-0.2744165638751294,-0.20221939016636792,-0.29998607214042977,0.8188925353327364,-0.08196045158914517,-0.7341829824337864,-0.1245237742381401,0.4538120351990667,0.3732108809440979,-0.376007816964927,,
PA=F,0.8743676625664891,0.8741743753007877,0.9036491511740081,0.8664016227554526,0.4280066688601847,1.0,0.7381462831645909,0.7219493954091335,0.6900375787221819,0.598178462415406,0.533728427559203,0.6511976574281999,0.3809732433256551,0.44606556915925877,0.5184135797027944,0.7116642413606322,0.471671936251642,0.43954394051691903,0.25417555425268745,0.3457692194614324,0.3030972144395887,0.45191273008303784,0.2756381275475132,0.3259259324749159,0.2214919303363755,0.2684563427120559,0.22411098489969158,0.1743233058503778,0.12357656217903215,0.16889939734852524,-0.15531432772331952,-0.058381101123036405,-0.28415198700118455,-0.26022231112395733,0.030289444147559148,-0.0852594432360579,-0.2517560802331672,-0.7067059396312245,-0.42808802108342425,-0.4327751556198513,-0.3382053508489572,-0.3988716404670684,-0.5153738984017756,-0.6536686171906226,-0.6614428705609499,,
LBS=F,0.824307871400533,0.8240637548734898,0.831545208780289,0.782829464728185,0.7963055485807405,0.7381462831645909,1.0,0.4210132934414824,0.8227588516505536,0.7825206084878306,0.772500745910335,0.5870957384674688,0.3336581340278885,0.5646319869808429,0.7537138971978247,0.6434244758538836,0.7089940567091872,0.6336623120926096,0.09459080834427434,0.6229500677295682,0.5723405262154649,0.4823842241603986,0.5038508453543864,0.5412317981885559,0.49723147951205837,0.5624435327160978,0.44018283819734977,0.4640330829638112,0.391494627313368,-0.1387289586770322,0.17737813162503016,0.21144052495164442,-0.08919452535616071,-0.06287172527789547,0.23075743918597705,-0.30127533497109243,-0.3574901362102138,-0.4864153088303182,-0.1463354257443106,-0.24106415592533906,-0.43379823353571906,-0.4021932452743351,-0.24235905080639905,-0.3503736314561048,-0.4569324358689698,,
UUP,0.7601330699913024,0.7604205381830245,0.7490985265404553,0.7551729818030026,0.08938435161224972,0.7219493954091335,0.4210132934414824,1.0,0.3747760071909356,0.152986892921583,0.2840665163400728,0.4745659714915786,0.7326121394468336,0.31231746697523227,0.038199623153543374,0.28470617503012635,0.20085921856564304,0.14941439002940174,0.3649695130363223,0.0020258354598271127,0.04132969515819777,0.061066688257595904,-0.04984969054462206,0.033959375657491804,-0.08397965535903808,-0.12083822944712884,-0.0651080784023252,-0.2223876524205374,-0.29548721086752605,0.3270248985938761,-0.16340932336174332,-0.2917426213634848,-0.09683718124156221,-0.1646266262503329,-0.4213880727753061,-0.20419280527238942,-0.4115676147102222,-0.30628411501991176,-0.7882864279669091,-0.9048316687701478,0.7611395511462697,-0.5236265193509908,-0.8510172771732111,-0.8310293776274849,-0.8773504428831554,,
ZO=F,0.7313368395408685,0.7312290621885978,0.7572213159918103,0.6734501528859047,0.819929639234723,0.6900375787221819,0.8227588516505536,0.3747760071909356,1.0,0.7969905266432374,0.8713502410810655,0.5658822444288433,0.2797624778221372,0.8153519393504988,0.8861184435310979,0.7536199964461755,0.8886897390565385,0.8657394465913216,0.004816857124802641,0.8274468619064758,0.7492508870301187,0.7193890900083658,0.7663111705889704,0.7815921908935144,0.742335865256399,0.6684548146336642,0.712030864417438,0.6986905583790782,0.646987600268937,-0.33831442743651796,0.29926853386960134,0.3930849883651971,-0.18045387294012144,0.08300325237613414,0.4155759852394435,-0.29837183386793575,-0.2986483450187886,-0.4321859885221869,0.07497347890688046,-0.129128982809851,0.07826656753123491,-0.3283653734158146,-0.0397962456319615,-0.21193715729715976,-0.27260587754466814,,
SIL=F,0.6855831210220258,0.6835206705198286,0.6863477255425969,0.6044958005798704,0.8322990211263495,0.598178462415406,0.7825206084878306,0.152986892921583,0.7969905266432374,1.0,0.7514093024738174,0.7789806884930397,0.08929812135469563,0.6447315586038977,0.8327742167487786,0.7796541654885563,0.8114644190637313,0.7476098546261798,-0.20897911270332697,0.8359867837707189,0.7406094693200552,0.622443458372196,0.6876096544720265,0.7490405753093342,0.699995082730765,0.7397031891137621,0.644119634062973,0.7252231352025188,0.6933217482939668,-0.1912566088068242,0.19057623687561845,0.6798315520901494,-0.11612020951410482,-0.009245996102628377,0.9999998641469148,-0.06910361448353036,-0.04686083576130803,-0.5626261936129207,0.4023734138515251,0.09122105408152424,-0.3549378990644793,-0.06429605138391024,0.22509544766414047,-0.11102277488938289,-0.17812522949172557,,
CT=F,0.6541439409276484,0.6546503127800737,0.6640681727228163,0.6174902284441006,0.7964264451912543,0.533728427559203,0.772500745910335,0.2840665163400728,0.8713502410810655,0.7514093024738174,1.0,0.34604998958037736,0.23544423153540112,0.8539006636691945,0.8673236162608096,0.6560594385227796,0.9027967484948761,0.8393226782112808,0.11001423386739013,0.7989297269214439,0.7408405472781353,0.638000543833392,0.8063168090162994,0.7691691695817195,0.7952534814757338,0.5874005096772104,0.625846306707014,0.7513771023122631,0.6848305779889939,-0.4862189127859568,0.2214287356274216,0.48081357455383256,-0.2247823647611071,-0.02774361139399723,0.4149639300995053,-0.4932081867884809,-0.46343341243954184,-0.2514219602326311,0.060263112705213825,-0.08593771657510652,0.5503452924508282,-0.46990269991663575,0.014407512284266023,-0.22604751045233726,-0.19142435927993479,,
MGC=F,0.6396730189739666,0.6397227635303957,0.653050584226798,0.6119886946486166,0.5721041943018905,0.6511976574281999,0.5870957384674688,0.4745659714915786,0.5658822444288433,0.7789806884930397,0.34604998958037736,1.0,0.3213435650419566,0.3860021061044234,0.40949635645191457,0.5252669838642252,0.40981167982799915,0.44543142677168385,0.10181820972384766,0.4682804980583277,0.09807509176389793,0.39814142211612685,0.23789392738749185,0.33821240736039493,0.24753634343280131,0.5472627750963615,0.23953042503648603,0.12622041187642075,0.12129230952550306,0.16530346098168247,-0.052822869674003244,-0.06520009245117746,-0.07360636548082843,-0.1325507949339434,0.06698993161371576,-0.00442187802654889,-0.1331455077199845,-0.7465871166989119,-0.22604725325937694,-0.3445046337828221,0.07209972859936718,-0.24845409217809297,-0.3222274065779622,-0.4027040051888661,-0.5217332563822246,,
JPY=X,0.6192609542286707,0.6208021320831202,0.5558984188737178,0.5969555057088848,0.466057664231273,0.3809732433256551,0.3336581340278885,0.7326121394468336,0.2797624778221372,0.08929812135469563,0.23544423153540112,0.3213435650419566,1.0,0.37095641111608774,-0.05422366999996518,-0.15415430839483,0.07624275917312945,0.10440770939023852,0.26213508945157393,-0.0478524088943259,-0.0033409820989284823,-0.10974854170685293,-0.05391279519180633,-0.12797281173751374,-0.05296412902665013,-0.04448067527216435,0.03840943462686819,-0.1879158670315213,-0.29553766976594653,0.007042145772406037,0.35112439815338964,-0.44393428241335764,0.3943169825243197,0.36288102882590373,-0.6499777125489506,-0.5262978016461686,-0.6117157705580687,-0.00216378482567973,-0.6919540113075556,-0.7752897779637794,0.7972613508984352,-0.5219341001746647,-0.7964377512508691,-0.43665565405126694,-0.8022476772530832,,
NG=F,0.5848055260113528,0.5868767253392887,0.5777062613369925,0.5506923630340268,0.6599475314487881,0.44606556915925877,0.5646319869808429,0.31231746697523227,0.8153519393504988,0.6447315586038977,0.8539006636691945,0.3860021061044234,0.37095641111608774,1.0,0.7222644709578667,0.5127456047094499,0.8022341821519622,0.820231406090928,0.15148722716744534,0.7313736984356665,0.6400585337318967,0.5651068919526672,0.7946483301138428,0.6780039265825584,0.765622135243552,0.5502548999837513,0.6480622761166371,0.7020631374416425,0.6417636459692468,-0.5381195532050317,0.3192635819828488,0.4042122696281983,-0.1335876079187387,0.15113211403766957,0.2836689335525282,-0.5467595167340293,-0.5073179996557645,-0.08489226645876667,0.04525702143253468,-0.13566708168035277,0.7620066540934539,-0.48129210595557537,-0.0208427723230044,-0.21312743197023054,-0.204202880119794,,
HG=F,0.5289311425720736,0.5287573263337209,0.566137719763181,0.49062281622367293,0.9143697154769532,0.5184135797027944,0.7537138971978247,0.038199623153543374,0.8861184435310979,0.8327742167487786,0.8673236162608096,0.40949635645191457,-0.05422366999996518,0.7222644709578667,1.0,0.7805198393519679,0.8888330975662199,0.8622048571395985,-0.03151920730451821,0.8629981631016349,0.7556451386397355,0.7406852456864457,0.8508882974290668,0.8416464664508615,0.8430588348698277,0.7197332023423416,0.7225853705673048,0.8439381601161984,0.8261169445892916,-0.47658067073013777,0.26154743409489706,0.5122270621761442,-0.296808188336404,0.03642402218900197,0.6670303283469693,-0.2507750021359291,-0.19764776681971818,-0.4054414742088479,0.3517655670671442,0.20880921712568093,-0.22933847315568306,-0.2261615126473539,0.29246239799968066,0.013932110054501888,0.046991871691168356,,
GC=F,0.5282030671931824,0.5286266123890477,0.6085661875627838,0.48787029318428293,0.5726807772762542,0.7116642413606322,0.6434244758538836,0.28470617503012635,0.7536199964461755,0.7796541654885563,0.6560594385227796,0.5252669838642252,-0.15415430839483,0.5127456047094499,0.7805198393519679,1.0,0.7769518282924288,0.7244541805776795,-0.08668062163911443,0.7182319886351594,0.6219725301583264,0.7678374862871687,0.6054148573396355,0.7597789100397351,0.5795671100618551,0.5293291201208596,0.501780452091861,0.550875214869509,0.55175268215498,0.019115944477285915,-0.1550552688494785,0.4783416674142673,-0.4725040505999608,-0.32676583940311826,0.6822772453689734,0.16769397944097472,0.1029624215816263,-0.7467635331956451,0.1869453098374883,0.007642680835374058,0.0706170556317735,-0.0718603617263406,0.1199247458047368,-0.27618009368859736,-0.09752845328614096,,
ZL=F,0.5046767549287319,0.5056510343426197,0.5424676773600201,0.4370292580459998,0.7833226530527834,0.471671936251642,0.7089940567091872,0.20085921856564304,0.8886897390565385,0.8114644190637313,0.9027967484948761,0.40981167982799915,0.07624275917312945,0.8022341821519622,0.8888330975662199,0.7769518282924288,1.0,0.9366727215454436,-0.1322745833527142,0.9289842992203706,0.831107246141286,0.7555196239088419,0.8545816036389247,0.9205714055894575,0.8652360062360117,0.6793512303714818,0.7521262046287024,0.802420116234311,0.7598074742384403,-0.37783636495142997,0.2551828721816247,0.6440080786747481,-0.2262026881591571,0.01776124282509173,0.6325767688737914,-0.2249606500974126,-0.1839575644074886,-0.3847973508556598,0.28537963514200065,-0.02329521044172509,0.6230665308593247,-0.21659603879208675,0.2055095921726136,-0.07833675929004803,-0.022996340416949226,,
KE=F,0.4354926843015488,0.4366010079795817,0.46733311074557243,0.3736514597516106,0.6879007918248281,0.43954394051691903,0.6336623120926096,0.14941439002940174,0.8657394465913216,0.7476098546261798,0.8393226782112808,0.44543142677168385,0.10440770939023852,0.820231406090928,0.8622048571395985,0.7244541805776795,0.9366727215454436,1.0,-0.11904642242785436,0.9197268096245741,0.7371237805085684,0.7926739451050078,0.8687340022086114,0.9193771983920737,0.8635703367571866,0.7451053674242039,0.7740359840431337,0.7995286217202727,0.7794172988784372,-0.4568523349991407,0.34421969337373304,0.5240245072682385,-0.16901813189643708,0.1176048464916646,0.603951709221409,-0.2649494615893351,-0.2087960186177613,-0.32630101963017666,0.32608291023001557,0.03918031920045543,0.6767558662273607,-0.2225262864025424,0.2428694125779193,0.016367795989249017,0.013558834443933764,,
^IRX,0.352526495436553,0.3581652720675229,0.2869602237468186,0.4859112591756327,-0.29614062866632346,0.25417555425268745,0.09459080834427434,0.3649695130363223,0.004816857124802641,-0.20897911270332697,0.11001423386739013,0.10181820972384766,0.26213508945157393,0.15148722716744534,-0.03151920730451821,-0.08668062163911443,-0.1322745833527142,-0.11904642242785436,1.0,-0.18221429569909814,-0.3127239206239846,-0.22093431788276865,0.06075001160815292,-0.12516783903385187,-0.015212632327644362,-0.10760946476229885,-0.19563174175415057,-0.02543399296291619,-0.020351895464962744,-0.2973425924552525,-0.3043097437163525,-0.3587621349036215,-0.422567463046098,-0.3178984657241912,-0.3648157229036154,-0.6505574780692235,-0.772507916451263,0.9993495841657016,-0.5316884534145047,-0.27232390227250375,0.6363987471693865,-0.8698363160194994,-0.3925785571307037,-0.608302191408174,-0.36368637631914624,,
ZS=F,0.3510951952310738,0.3524576091495721,0.38798185985738837,0.2867321434850778,0.7684007456631701,0.3457692194614324,0.6229500677295682,0.0020258354598271127,0.8274468619064758,0.8359867837707189,0.7989297269214439,0.4682804980583277,-0.0478524088943259,0.7313736984356665,0.8629981631016349,0.7182319886351594,0.9289842992203706,0.9197268096245741,-0.18221429569909814,1.0,0.7397665175955629,0.7929113246433126,0.8711051185237199,0.9298176320937317,0.8969103045708033,0.8788460418739046,0.8053922833315764,0.8434677808691111,0.8275431169842686,-0.44462695485430326,0.28163714236468923,0.6297097128956264,-0.19027685701879626,0.05316568891395234,0.6930360340154167,-0.18188981299718904,-0.10575994130029981,-0.3548294942249963,0.4489640809781168,0.16512843884996295,0.6335060907404085,-0.12316030290406688,0.3688165165252028,0.09579052909684332,0.1340742016656175,,
KC=F,0.3411318779645374,0.34213641050648497,0.3807027983465216,0.25730392167584115,0.8076254357680638,0.3030972144395887,0.5723405262154649,0.04132969515819777,0.7492508870301187,0.7406094693200552,0.7408405472781353,0.09807509176389793,-0.0033409820989284823,0.6400585337318967,0.7556451386397355,0.6219725301583264,0.831107246141286,0.7371237805085684,-0.3127239206239846,0.7397665175955629,1.0,0.5887627622436363,0.7205536934819121,0.7228261106784946,0.7295479421865826,0.4849187131598036,0.704038758443553,0.730027068989406,0.6713008038170388,-0.33706715558252226,0.3990501778110002,0.7306444751934628,-0.07994337565182139,0.22328997339210072,0.5863275502996489,-0.1206522125625514,-0.04626614224936397,-0.463974191121751,0.3875102085738506,0.09025546027227796,0.06486095741926437,-0.015242252865981257,0.292098540434965,0.08749977531487557,0.13814692895901567,,
ZR=F,0.298346412975533,0.30060828790634836,0.36799509905677114,0.2461384924289519,0.4628055968063998,0.45191273008303784,0.4823842241603986,0.061066688257595904,0.7193890900083658,0.622443458372196,0.638000543833392,0.39814142211612685,-0.10974854170685293,0.5651068919526672,0.7406852456864457,0.7678374862871687,0.7555196239088419,0.7926739451050078,-0.22093431788276865,0.7929113246433126,0.5887627622436363,1.0,0.7158163581762484,0.7828795424983289,0.7070061857157901,0.6726007343151276,0.6750459427540924,0.6787894370008594,0.6814289339807759,-0.26282204847485136,0.048698644031874516,0.3937981356027473,-0.2628305596719408,-0.08836851925282349,0.6014197689151142,0.022191816005809942,0.06477370804898017,-0.5953248891793144,0.3494076153788216,0.2161471438999252,0.791022091658034,0.002848751129817945,0.2705804435609717,0.06633373889091602,0.07743034423973155,,
