,^GSPC,ES=F,NQ=F,YM=F,RTY=F,PA=F,LBS=F,UUP,ZO=F,SIL=F,CT=F,MGC=F,JPY=X,NG=F,HG=F,GC=F,ZL=F,KE=F,^IRX,ZS=F,KC=F,ZR=F,HO=F,ZC=F,RB=F,ZM=F,HE=F,CL=F,BZ=F,ZB=F,LE=F,SB=F,CC=F,GF=F,SI=F,ZN=F,ZF=F,DTB3,PL=F,EURUSD=X,OJ=F,ZT=F,AUDUSD=X,GBPUSD=X,BRLUSD=X,B0=F,trending
HO=F,0.29283065326635216,0.295835064148659,0.3044955354252097,0.2720722694122991,0.6960709939516563,0.2756381275475132,0.5038508453543864,-0.04984969054462206,0.7663111705889704,0.6876096544720265,0.8063168090162994,0.23789392738749185,-0.05391279519180633,0.7946483301138428,0.8508882974290668,0.6054148573396355,0.8545816036389247,0.8687340022086114,0.06075001160815292,0.8711051185237199,0.7205536934819121,0.7158163581762484,1.0,0.861107414017682,0.9684495041179615,0.7316025322307482,0.7994134446702352,0.9616155149398331,0.9516706844499033,-0.7001194267910281,0.31008455940050966,0.5768196779241804,-0.28282221637027755,0.1330996977743477,0.6347669846546652,-0.4169805087227535,-0.3187974584317296,0.01503230805584055,0.45948393790985725,0.258253180844999,0.7877604244539762,-0.3066365581115726,0.4115601295448909,0.09345514716232967,0.2358623223162912,,
ZC=F,0.28930509389701387,0.2904609297711327,0.3367832119765627,0.23737094869133818,0.742461575109016,0.3259259324749159,0.5412317981885559,0.033959375657491804,0.7815921908935144,0.7490405753093342,0.7691691695817195,0.33821240736039493,-0.12797281173751374,0.6780039265825584,0.8416464664508615,0.7597789100397351,0.9205714055894575,0.9193771983920737,-0.12516783903385187,0.9298176320937317,0.7228261106784946,0.7828795424983289,0.861107414017682,1.0,0.8639110985326854,0.735283969934904,0.745842517979662,0.8112613956984619,0.820530849847723,-0.4161750213572014,0.20485946923881626,0.6396963809822372,-0.30698055587107337,-0.026092465379595173,0.7674616998046188,-0.1338317207905376,-0.07176650549297171,-0.2822340384673098,0.44695151914189374,0.13680694257715412,0.7572823471900249,-0.134807440226992,0.40478209096823725,0.06907138388521335,0.18017237543415185,,
RB=F,0.2694499583861156,0.27225890878037534,0.2796276580598547,0.23743849134217376,0.7366513944412157,0.2214919303363755,0.49723147951205837,-0.08397965535903808,0.742335865256399,0.699995082730765,0.7952534814757338,0.24753634343280131,-0.05296412902665013,0.765622135243552,0.8430588348698277,0.5795671100618551,0.8652360062360117,0.8635703367571866,-0.015212632327644362,0.8969103045708033,0.7295479421865826,0.7070061857157901,0.9684495041179615,0.8639110985326854,1.0,0.7580354504931803,0.836307979886002,0.9598661009899929,0.9431483045931982,-0.6644918355629343,0.33804032986644406,0.5949130803487283,-0.19609959001795732,0.17458044516429613,0.6408420197054716,-0.38172270356608545,-0.27285898302210015,-0.03938170942094739,0.4881129356538938,0.25066193541153253,0.7999338464560891,-0.2431501204228336,0.4350404841569422,0.15677356539233997,0.2527027822137984,,
ZM=F,0.26825329003038895,0.2702168606504979,0.2853846340985282,0.22689968516190037,0.677873158407885,0.2684563427120559,0.5624435327160978,-0.12083822944712884,0.6684548146336642,0.7397031891137621,0.5874005096772104,0.5472627750963615,-0.04448067527216435,0.5502548999837513,0.7197332023423416,0.5293291201208596,0.6793512303714818,0.7451053674242039,-0.10760946476229885,0.8788460418739046,0.4849187131598036,0.6726007343151276,0.7316025322307482,0.735283969934904,0.7580354504931803,1.0,0.7020047522240421,0.7214178208670442,0.7262631316016503,-0.45221590262096284,0.2901036498406125,0.38225604055219387,-0.07434075339015318,0.11824939571696239,0.5349891795073992,-0.20946986500974726,-0.13331024660666232,-0.27079923731090294,0.4210151643285798,0.26455922242387825,0.24336006829883183,-0.12559668127664558,0.34837515222207055,0.18068633100191048,0.1416524913479626,,
HE=F,0.2372704283276023,0.24019184943129002,0.258511300340008,0.17660605008461852,0.7392562427327909,0.22411098489969158,0.44018283819734977,-0.0651080784023252,0.712030864417438,0.644119634062973,0.625846306707014,0.23953042503648603,0.03840943462686819,0.6480622761166371,0.7225853705673048,0.501780452091861,0.7521262046287024,0.7740359840431337,-0.19563174175415057,0.8053922833315764,0.704038758443553,0.6750459427540924,0.7994134446702352,0.745842517979662,0.836307979886002,0.7020047522240421,1.0,0.8081537742389073,0.7712549860117481,-0.5059533180058826,0.5169740099388611,0.467167696908471,0.0023639710130908265,0.3843579707185655,0.5212091352876536,-0.20707125425996392,-0.10331400972354735,-0.22084295109601929,0.4612943484166145,0.22589083803008053,0.54908440133187,-0.03718967505382766,0.35091390325834615,0.2706271304816455,0.18904989896036045,,
CL=F,0.19151635193398053,0.1943322879268279,0.2065502869396641,0.1686749362830761,0.7925082699449082,0.1743233058503778,0.4640330829638112,-0.2223876524205374,0.6986905583790782,0.7252231352025188,0.7513771023122631,0.12622041187642075,-0.1879158670315213,0.7020631374416425,0.8439381601161984,0.550875214869509,0.802420116234311,0.7995286217202727,-0.02543399296291619,0.8434677808691111,0.730027068989406,0.6787894370008594,0.9616155149398331,0.8112613956984619,0.9598661009899929,0.7214178208670442,0.8081537742389073,1.0,0.9816145703093963,-0.7192676080976931,0.3199630252593542,0.6392951962603028,-0.24740890009608202,0.1488705968443408,0.6890013844368358,-0.3541676436241461,-0.22051012823782198,-0.008567406443669785,0.575355379271638,0.41736568565500193,0.7036221422489922,-0.18280515782365409,0.5323064271652894,0.22738999740162588,0.3653791248863291,,
BZ=F,0.10364701179011716,0.10651247413931378,0.12502153383935374,0.08968380406654135,0.7802162499506543,0.12357656217903215,0.391494627313368,-0.29548721086752605,0.646987600268937,0.6933217482939668,0.6848305779889939,0.12129230952550306,-0.29553766976594653,0.6417636459692468,0.8261169445892916,0.55175268215498,0.7598074742384403,0.7794172988784372,-0.020351895464962744,0.8275431169842686,0.6713008038170388,0.6814289339807759,0.9516706844499033,0.820530849847723,0.9431483045931982,0.7262631316016503,0.7712549860117481,0.9816145703093963,1.0,-0.7177777059168664,0.27462107609933195,0.6286736042455731,-0.3049551906228629,0.11186612770110044,0.7496268913980125,-0.29549339658944634,-0.15844478583854107,0.051877684008204784,0.6441269840089321,0.4905590733308408,0.7054351130511877,-0.1409440884993229,0.6191669882053861,0.27972554926875765,0.4523012443544137,,
ZB=F,0.022910834259122523,0.01889607821811108,0.06281709361347926,-0.01476979887289018,-0.36736907630996923,0.16889939734852524,-0.1387289586770322,0.3270248985938761,-0.33831442743651796,-0.1912566088068242,-0.4862189127859568,0.16530346098168247,0.007042145772406037,-0.5381195532050317,-0.47658067073013777,0.019115944477285915,-0.37783636495142997,-0.4568523349991407,-0.2973425924552525,-0.44462695485430326,-0.33706715558252226,-0.26282204847485136,-0.7001194267910281,-0.4161750213572014,-0.6644918355629343,-0.45221590262096284,-0.5059533180058826,-0.7192676080976931,-0.7177777059168664,1.0,-0.435851083903864,-0.25229153241325536,0.14969091044009483,-0.3253135526488281,-0.2451603219702213,0.7372690706063864,0.5667929250773578,-0.6037943338985361,-0.37543907923597153,-0.4154798705862045,-0.8473888640018903,0.43389966440947453,-0.4255233113784665,-0.2954497852211168,-0.3720733479659196,,
LE=F,0.00902211825512468,0.009373652570649054,-0.02623956333543118,-0.0605864143265527,0.7685108336587897,-0.15531432772331952,0.17737813162503016,-0.16340932336174332,0.29926853386960134,0.19057623687561845,0.2214287356274216,-0.052822869674003244,0.35112439815338964,0.3192635819828488,0.26154743409489706,-0.1550552688494785,0.2551828721816247,0.34421969337373304,-0.3043097437163525,0.28163714236468923,0.3990501778110002,0.048698644031874516,0.31008455940050966,0.20485946923881626,0.33804032986644406,0.2901036498406125,0.5169740099388611,0.3199630252593542,0.27462107609933195,-0.435851083903864,1.0,0.04822321039414561,0.5166227461448187,0.8893490444649241,0.03059779810359755,-0.301953833412697,-0.16459392597919079,-0.04444824102569137,0.30817516351271407,0.0714690080305984,0.10299852353829617,0.062118896015597634,0.1688205708020398,0.5258204204161746,0.12609793816569712,,
SB=F,-0.06592706409876752,-0.06506905715659948,-0.01633673440244602,-0.1291401656277737,0.8704365716540673,-0.058381101123036405,0.21144052495164442,-0.2917426213634848,0.3930849883651971,0.6798315520901494,0.48081357455383256,-0.06520009245117746,-0.44393428241335764,0.4042122696281983,0.5122270621761442,0.4783416674142673,0.6440080786747481,0.5240245072682385,-0.3587621349036215,0.6297097128956264,0.7306444751934628,0.3937981356027473,0.5768196779241804,0.6396963809822372,0.5949130803487283,0.38225604055219387,0.467167696908471,0.6392951962603028,0.6286736042455731,-0.25229153241325536,0.04822321039414561,1.0,-0.21408556807408002,-0.11869826108332666,0.7582777545784934,0.11597585240097491,0.22528998585522977,-0.35888138226023386,0.5944465678043024,0.3258968123063621,0.09768605513098817,0.2004853548106927,0.5975693419597351,0.17786465365549306,0.47166953113123566,,
CC=F,-0.10805511853192087,-0.11095868572451258,-0.1515174151147703,-0.18386776514636952,0.46845697186281376,-0.28415198700118455,-0.08919452535616071,-0.09683718124156221,-0.18045387294012144,-0.11612020951410482,-0.2247823647611071,-0.07360636548082843,0.3943169825243197,-0.1335876079187387,-0.296808188336404,-0.4725040505999608,-0.2262026881591571,-0.16901813189643708,-0.422567463046098,-0.19027685701879626,-0.07994337565182139,-0.2628305596719408,-0.28282221637027755,-0.30698055587107337,-0.19609959001795732,-0.07434075339015318,0.0023639710130908265,-0.24740890009608202,-0.3049551906228629,0.14969091044009483,0.5166227461448187,-0.21408556807408002,1.0,0.601702515178223,-0.3617305101644306,0.017339976340196944,0.08731656979165218,-0.32238290961162314,-0.03921069686257283,-0.12681079493623515,-0.5883244508318657,0.29033106395893415,-0.16638383254843028,0.40355623962430315,-0.1291977828180189,,
GF=F,-0.11779179896726219,-0.11694831540528357,-0.15676945520396596,-0.17572077980731704,0.7501703306386618,-0.26022231112395733,-0.06287172527789547,-0.1646266262503329,0.08300325237613414,-0.009245996102628377,-0.02774361139399723,-0.1325507949339434,0.36288102882590373,0.15113211403766957,0.03642402218900197,-0.32676583940311826,0.01776124282509173,0.1176048464916646,-0.3178984657241912,0.05316568891395234,0.22328997339210072,-0.08836851925282349,0.1330996977743477,-0.026092465379595173,0.17458044516429613,0.11824939571696239,0.3843579707185655,0.1488705968443408,0.11186612770110044,-0.3253135526488281,0.8893490444649241,-0.11869826108332666,0.601702515178223,1.0,-0.12943117550667543,-0.20069598499694505,-0.07808816387924929,0.1060529015333719,0.25073170771301073,0.03790689452003992,0.28640479682330067,0.16263867386221423,0.109826698688199,0.5535929478213054,0.1375657827339259,,
SI=F,-0.1274067446732763,-0.12794485003250466,-0.05041260261759924,-0.1724071774474883,0.8322990211263495,0.030289444147559148,0.23075743918597705,-0.4213880727753061,0.4155759852394435,0.9999998641469148,0.4149639300995053,0.06698993161371576,-0.6499777125489506,0.2836689335525282,0.6670303283469693,0.6822772453689734,0.6325767688737914,0.603951709221409,-0.3648157229036154,0.6930360340154167,0.5863275502996489,0.6014197689151142,0.6347669846546652,0.7674616998046188,0.6408420197054716,0.5349891795073992,0.5212091352876536,0.6890013844368358,0.7496268913980125,-0.2451603219702213,0.03059779810359755,0.7582777545784934,-0.3617305101644306,-0.12943117550667543,1.0,0.28503625010500655,0.38645779078014253,-0.5626261936129207,0.7865804274314715,0.5529755677068787,-0.3549378990644793,0.30647896892446524,0.7693842516061958,0.3616219594903107,0.5931299968218093,,
ZN=F,-0.37814004205223806,-0.38238988084545045,-0.2920177937613981,-0.43659449325061833,-0.2744165638751294,-0.0852594432360579,-0.30127533497109243,-0.20419280527238942,-0.29837183386793575,-0.06910361448353036,-0.4932081867884809,-0.00442187802654889,-0.5262978016461686,-0.5467595167340293,-0.2507750021359291,0.16769397944097472,-0.2249606500974126,-0.2649494615893351,-0.6505574780692235,-0.18188981299718904,-0.1206522125625514,0.022191816005809942,-0.4169805087227535,-0.1338317207905376,-0.38172270356608545,-0.20946986500974726,-0.20707125425996392,-0.3541676436241461,-0.29549339658944634,0.7372690706063864,-0.301953833412697,0.11597585240097491,0.017339976340196944,-0.20069598499694505,0.28503625010500655,1.0,0.9602099998831909,-0.651020048215099,0.2842616740154585,0.1786409508773463,-0.8440617072809183,0.853050898006066,0.2252490596550714,0.22769829628082522,0.2512492597318943,,
ZF=F,-0.5163348760152036,-0.5204411583611429,-0.4292644740805634,-0.5866628423176767,-0.20221939016636792,-0.2517560802331672,-0.3574901362102138,-0.4115676147102222,-0.2986483450187886,-0.04686083576130803,-0.46343341243954184,-0.1331455077199845,-0.6117157705580687,-0.5073179996557645,-0.19764776681971818,0.1029624215816263,-0.1839575644074886,-0.2087960186177613,-0.772507916451263,-0.10575994130029981,-0.04626614224936397,0.06477370804898017,-0.3187974584317296,-0.07176650549297171,-0.27285898302210015,-0.13331024660666232,-0.10331400972354735,-0.22051012823782198,-0.15844478583854107,0.5667929250773578,-0.16459392597919079,0.22528998585522977,0.08731656979165218,-0.07808816387924929,0.38645779078014253,0.9602099998831909,1.0,-0.7041171458647723,0.48034710911951295,0.36596998733426606,-0.8294549407719863,0.9521731873258203,0.42099019063526055,0.45008597048282895,0.44146685470958474,,
DTB3,-0.5210766393026586,-0.5177562357349791,-0.6314072383334982,-0.3886055458604847,-0.29998607214042977,-0.7067059396312245,-0.4864153088303182,-0.30628411501991176,-0.4321859885221869,-0.5626261936129207,-0.2514219602326311,-0.7465871166989119,-0.00216378482567973,-0.08489226645876667,-0.4054414742088479,-0.7467635331956451,-0.3847973508556598,-0.32630101963017666,0.9993495841657016,-0.3548294942249963,-0.463974191121751,-0.5953248891793144,0.01503230805584055,-0.2822340384673098,-0.03938170942094739,-0.27079923731090294,-0.22084295109601929,-0.008567406443669785,0.051877684008204784,-0.6037943338985361,-0.04444824102569137,-0.35888138226023386,-0.32238290961162314,0.1060529015333719,-0.5626261936129207,-0.651020048215099,-0.7041171458647723,1.0,-0.28201940756848987,0.16290393887410506,0.6564307048971934,-0.7557342613947954,0.27547162336093794,-0.0780522524129274,0.6890683866711742,,
PL=F,-0.5479726166275829,-0.5491045245484932,-0.5094232289634322,-0.5910433459821797,0.8188925353327364,-0.42808802108342425,-0.1463354257443106,-0.7882864279669091,0.07497347890688046,0.4023734138515251,0.060263112705213825,-0.22604725325937694,-0.6919540113075556,0.04525702143253468,0.3517655670671442,0.1869453098374883,0.28537963514200065,0.32608291023001557,-0.5316884534145047,0.4489640809781168,0.3875102085738506,0.3494076153788216,0.45948393790985725,0.44695151914189374,0.4881129356538938,0.4210151643285798,0.4612943484166145,0.575355379271638,0.6441269840089321,-0.37543907923597153,0.30817516351271407,0.5944465678043024,-0.03921069686257283,0.25073170771301073,0.7865804274314715,0.2842616740154585,0.48034710911951295,-0.28201940756848987,1.0,0.7967674715248478,-0.4937911538468349,0.5487603742802978,0.9485603234225092,0.7815871626238965,0.8898204477610864,,
EURUSD=X,-0.5647183079451591,-0.5662883778781156,-0.5323601291565085,-0.550504941176717,-0.08196045158914517,-0.4327751556198513,-0.24106415592533906,-0.9048316687701478,-0.129128982809851,0.09122105408152424,-0.08593771657510652,-0.3445046337828221,-0.7752897779637794,-0.13566708168035277,0.20880921712568093,0.007642680835374058,-0.02329521044172509,0.03918031920045543,-0.27232390227250375,0.16512843884996295,0.09025546027227796,0.2161471438999252,0.258253180844999,0.13680694257715412,0.25066193541153253,0.26455922242387825,0.22589083803008053,0.41736568565500193,0.4905590733308408,-0.4154798705862045,0.0714690080305984,0.3258968123063621,-0.12681079493623515,0.03790689452003992,0.5529755677068787,0.1786409508773463,0.36596998733426606,0.16290393887410506,0.7967674715248478,1.0,-0.7371762120883617,0.42858789542055886,0.8493489791920061,0.7099846250228384,0.8318263897999305,,
OJ=F,-0.5798317085154536,-0.5740456409310494,-0.6956613687464247,-0.553164007990927,-0.7341829824337864,-0.3382053508489572,-0.43379823353571906,0.7611395511462697,0.07826656753123491,-0.3549378990644793,0.5503452924508282,0.07209972859936718,0.7972613508984352,0.7620066540934539,-0.22933847315568306,0.0706170556317735,0.6230665308593247,0.6767558662273607,0.6363987471693865,0.6335060907404085,0.06486095741926437,0.791022091658034,0.7877604244539762,0.7572823471900249,0.7999338464560891,0.24336006829883183,0.54908440133187,0.7036221422489922,0.7054351130511877,-0.8473888640018903,0.10299852353829617,0.09768605513098817,-0.5883244508318657,0.28640479682330067,-0.3549378990644793,-0.8440617072809183,-0.8294549407719863,0.6564307048971934,-0.4937911538468349,-0.7371762120883617,1.0,-0.7981118925436198,-0.33689226534406946,-0.7375751377202865,0.5628022979705277,,
ZT=F,-0.5901975534675001,-0.5943903687836408,-0.5217684834023607,-0.674340387942451,-0.1245237742381401,-0.3988716404670684,-0.4021932452743351,-0.5236265193509908,-0.3283653734158146,-0.06429605138391024,-0.46990269991663575,-0.24845409217809297,-0.5219341001746647,-0.48129210595557537,-0.2261615126473539,-0.0718603617263406,-0.21659603879208675,-0.2225262864025424,-0.8698363160194994,-0.12316030290406688,-0.015242252865981257,0.002848751129817945,-0.3066365581115726,-0.134807440226992,-0.2431501204228336,-0.12559668127664558,-0.03718967505382766,-0.18280515782365409,-0.1409440884993229,0.43389966440947453,0.062118896015597634,0.2004853548106927,0.29033106395893415,0.16263867386221423,0.30647896892446524,0.853050898006066,0.9521731873258203,-0.7557342613947954,0.5487603742802978,0.42858789542055886,-0.7981118925436198,1.0,0.4619744299909422,0.6305920362117557,0.5058267658754332,,
AUDUSD=X,-0.6268364990695441,-0.6273957068376623,-0.5874123064153373,-0.6417401784386252,0.4538120351990667,-0.5153738984017756,-0.24235905080639905,-0.8510172771732111,-0.0397962456319615,0.22509544766414047,0.014407512284266023,-0.3222274065779622,-0.7964377512508691,-0.0208427723230044,0.29246239799968066,0.1199247458047368,0.2055095921726136,0.2428694125779193,-0.3925785571307037,0.3688165165252028,0.292098540434965,0.2705804435609717,0.4115601295448909,0.40478209096823725,0.4350404841569422,0.34837515222207055,0.35091390325834615,0.5323064271652894,0.6191669882053861,-0.4255233113784665,0.1688205708020398,0.5975693419597351,-0.16638383254843028,0.109826698688199,0.7693842516061958,0.2252490596550714,0.42099019063526055,0.27547162336093794,0.9485603234225092,0.8493489791920061,-0.33689226534406946,0.4619744299909422,1.0,0.7398645601226239,0.9472100136847151,,
GBPUSD=X,-0.6764970258521246,-0.6786004880186686,-0.6621533893287249,-0.7266052458840531,0.3732108809440979,-0.6536686171906226,-0.3503736314561048,-0.8310293776274849,-0.21193715729715976,-0.11102277488938289,-0.22604751045233726,-0.4027040051888661,-0.43665565405126694,-0.21312743197023054,0.013932110054501888,-0.27618009368859736,-0.07833675929004803,0.016367795989249017,-0.608302191408174,0.09579052909684332,0.08749977531487557,0.06633373889091602,0.09345514716232967,0.06907138388521335,0.15677356539233997,0.18068633100191048,0.2706271304816455,0.22738999740162588,0.27972554926875765,-0.2954497852211168,0.5258204204161746,0.17786465365549306,0.40355623962430315,0.5535929478213054,0.3616219594903107,0.22769829628082522,0.45008597048282895,-0.0780522524129274,0.7815871626238965,0.7099846250228384,-0.7375751377202865,0.6305920362117557,0.7398645601226239,1.0,0.7512582012301435,,
BRLUSD=X,-0.7912914995653233,-0.7916009095842959,-0.7668321036960739,-0.7886832614958894,-0.376007816964927,-0.6614428705609499,-0.4569324358689698,-0.8773504428831554,-0.27260587754466814,-0.17812522949172557,-0.19142435927993479,-0.5217332563822246,-0.8022476772530832,-0.204202880119794,0.046991871691168356,-0.09752845328614096,-0.022996340416949226,0.013558834443933764,-0.36368637631914624,0.1340742016656175,0.13814692895901567,0.07743034423973155,0.2358623223162912,0.18017237543415185,0.2527027822137984,0.1416524913479626,0.18904989896036045,0.3653791248863291,0.4523012443544137,-0.3720733479659196,0.12609793816569712,0.47166953113123566,-0.1291977828180189,0.1375657827339259,0.5931299968218093,0.2512492597318943,0.44146685470958474,0.6890683866711742,0.8898204477610864,0.8318263897999305,0.5628022979705277,0.5058267658754332,0.9472100136847151,0.7512582012301435,1.0,,
B0=F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
