,^GSPC,ES=F,NQ=F,YM=F,RTY=F,PA=F,LBS=F,UUP,ZO=F,SIL=F,CT=F,MGC=F,JPY=X,NG=F,DGS2,GC=F,HG=F,ZL=F,KE=F,DGS3MO,^IRX,ZS=F,KC=F,ZR=F,HO=F,ZC=F,RB=F,ZM=F,HE=F,CL=F,DGS10,BZ=F,ZB=F,LE=F,SB=F,CC=F,GF=F,SI=F,ZN=F,ZF=F,PL=F,EURUSD=X,OJ=F,ZT=F,AUDUSD=X,GBPUSD=X,BRLUSD=X,trending
^GSPC,1.0,0.9999614468181423,0.9907418856460768,0.9875657097608754,0.9029941447784631,0.874714269123573,0.8242436645239722,0.7616578867828419,0.7321183871229087,0.6844528027840449,0.6533599558932103,0.639298164120913,0.6215533366330174,0.5915703182346699,0.5689221918206493,0.5315495233225704,0.5252573204154029,0.5073680267710509,0.43787540638176475,0.3614430432638632,0.357459561625255,0.3530773947626179,0.3476774373915361,0.3039143489251095,0.29793715542231,0.2906949993524177,0.2725997613930976,0.2695885997187817,0.24544801959561646,0.19588873958224406,0.16507561318393146,0.10568796331041808,0.019485217971117245,0.010313456995417131,-0.0636703427834962,-0.11215757102850375,-0.11568550714219719,-0.12647983148245062,-0.3814762996505015,-0.5195639127280322,-0.5482476895502771,-0.5662360882557064,-0.5722175267130175,-0.5936137773415919,-0.6269307580639986,-0.6780804583727026,-0.7910966362704548,
ES=F,0.9999614468181423,1.0,0.9906015580868573,0.9880498988782358,0.9038412713828122,0.8746645835111195,0.8236025078492126,0.7619616977081465,0.731387989130125,0.6820925423143552,0.6537301731817151,0.6394247806977243,0.6230824206703394,0.5935140059265401,0.5714852286037461,0.5319854428540346,0.5252177347266724,0.5079955552385316,0.4386832231887378,0.3644021218181051,0.36304831114485064,0.3535793919515014,0.3484061597551988,0.28378452230031936,0.3007965151447516,0.29155026678067814,0.27545968851255576,0.2703052178087911,0.24869981353642598,0.19817438652801608,0.16718749541348774,0.10838611713030928,0.015949496878983397,0.010907686553123788,-0.06352613997827675,-0.11500327061569705,-0.11441432887771819,-0.1271806134633331,-0.38536376416403,-0.5234063166188909,-0.549431731475646,-0.5677643822848235,-0.5662422861877354,-0.5976944558035144,-0.6273072095194187,-0.6801329924076449,-0.7913968540916889,
NQ=F,0.9907418856460768,0.9906015580868573,1.0,0.9700540549937064,0.8483899509467806,0.903921640836874,0.8308286618986268,0.7509696697773586,0.7569696717200504,0.6849468167516535,0.6628630573536661,0.6533482455773797,0.5591417546164453,0.5839965903778161,0.49700209068789175,0.6109876259024277,0.5624302460149321,0.5442808127136376,0.469083411392296,0.293866641493704,0.29260038290674867,0.38895978753747423,0.3860203777514395,0.3490429303412567,0.30906706653205285,0.3374145089196687,0.2827561176331195,0.2860079402524091,0.2665827336827826,0.209994364163151,0.08128546821589484,0.12688361662151526,0.0596048254942601,-0.024293047132430415,-0.015382797373619328,-0.1550024376537062,-0.15369043544796515,-0.05054164045828634,-0.29564006376760416,-0.4329303829695768,-0.510298101508307,-0.5347818111658278,-0.6887794118059387,-0.5257041126215377,-0.5875358900344206,-0.6638979636499602,-0.7670242661617951,
YM=F,0.9875657097608754,0.9880498988782358,0.9700540549937064,1.0,0.942828560002418,0.8669878155522069,0.7826830113155095,0.7565016974171175,0.6739748724146544,0.60353032524889,0.6169647685261818,0.6114866998408484,0.5990122683582704,0.557538740243093,0.6529760588610003,0.4915436989893979,0.4875108344030659,0.43974390145212017,0.3759955704037391,0.4913285738717019,0.4895831980026747,0.28807503873243023,0.2639412491853875,0.23133711618962574,0.2771135913875413,0.23876568184235542,0.24076587918687373,0.2268788984037507,0.1853923829664672,0.17264657339388573,0.2211046724036382,0.09162465217337927,-0.017480702767376722,-0.059040774322491864,-0.12712105867759507,-0.18777826169543588,-0.17331669390343876,-0.171261331089781,-0.43915432544242033,-0.5890805173949621,-0.5910930956458667,-0.551679036920921,-0.5462505213783239,-0.6768436697040339,-0.6414690156096519,-0.7278353661693044,-0.7883400437495435,
RTY=F,0.9029941447784631,0.9038412713828122,0.8483899509467806,0.942828560002418,1.0,0.4293387719035153,0.7951967501007927,0.0957390250504079,0.8191844031386779,0.8311171197155702,0.7963224256888558,0.5731148894148751,0.46752444565194545,0.6581278495479634,0.10539766478165062,0.5736299404121887,0.913499916307886,0.7839388512437072,0.6887115109547401,-0.2980100037869024,-0.28978869995933937,0.7690574937586905,0.8082745444030747,0.43238633010874106,0.6972021136520655,0.7428428234612588,0.7375027543427228,0.6787835477004269,0.7377708816679738,0.7933392365755795,0.21932994192782285,0.7809122010543833,-0.36939713045085626,0.7691551303521867,0.8709853275743122,0.4658136978094643,0.7474296758011155,0.8311171197155702,-0.27683905559419125,-0.20514973051450147,0.8155492838902051,-0.08864994755952171,-0.7272774018503093,-0.12872274695863797,0.45215981945452116,0.36487567078692706,-0.3787273248495935,
PA=F,0.874714269123573,0.8746645835111195,0.903921640836874,0.8669878155522069,0.4293387719035153,1.0,0.7380653208039272,0.7226998983748828,0.6903523505248256,0.5976681349893673,0.5338883594100576,0.6507254765254045,0.3840328073795819,0.45181977420854874,0.3711178214432968,0.7139304029179054,0.5163432422760545,0.47391774020728805,0.44141442883118553,0.2616496475873131,0.258779720854485,0.34711771583895784,0.3083041336559783,0.43293213308548745,0.27991621311800696,0.3270492490117046,0.22485939611752437,0.26920500140422293,0.2310357020313836,0.17780901954256093,-0.11311350717419592,0.12578897981865664,0.1654886385517366,-0.1533320844509473,-0.05647798170649088,-0.28705320316261,-0.25750913119950203,0.0307452131406097,-0.08907447173816521,-0.2554067300379686,-0.4286437128120311,-0.43509824799411234,-0.3348104909142442,-0.4024844274550714,-0.5149523607799219,-0.6550601854918986,-0.6613964325186636,
LBS=F,0.8242436645239722,0.8236025078492126,0.8308286618986268,0.7826830113155095,0.7951967501007927,0.7380653208039272,1.0,0.4222210581413482,0.8229319203449464,0.7825331591095224,0.771045809865559,0.587651543894011,0.33484001287548676,0.5622185659839976,0.3769814334119297,0.6442007804524449,0.7506576553720199,0.708870099160274,0.6337637716944868,0.09879833706825852,0.09688731814762802,0.6225285341266844,0.5741821431786551,0.4668257210896696,0.5042917551760202,0.540790233018264,0.4963410126974935,0.5623761853832717,0.44078904244517164,0.46427877108876364,0.14683681068990848,0.3902612148573906,-0.13898991083200316,0.17759816940044684,0.2102534545045889,-0.09063873165309642,-0.06214365939883861,0.23028432521388176,-0.30216434939424347,-0.3585201568268119,-0.1473970305305332,-0.24189069278452424,-0.4230238688830468,-0.4030669070206681,-0.24361574277029185,-0.3513068261968926,-0.4575747325892755,
UUP,0.7616578867828419,0.7619616977081465,0.7509696697773586,0.7565016974171175,0.0957390250504079,0.7226998983748828,0.4222210581413482,1.0,0.37686662226270695,0.15378484847951507,0.2849611883025756,0.4754648629100353,0.7352108144975563,0.32701216777710496,0.5108099204992542,0.2892968262705694,0.03688354680246223,0.20583082193679747,0.15393540809624645,0.3788738870408806,0.37162773360669416,0.006939274947465794,0.05028616993451216,0.07049193537811423,-0.040859656523954985,0.03687882588924782,-0.07661180205407196,-0.11621210300310006,-0.051122390693399355,-0.21407051779751832,-0.013318326701425222,-0.28871832888315113,0.32014048600024353,-0.1603316087626033,-0.28713509324795505,-0.1015118721058093,-0.1609119165597761,-0.4193390890981835,-0.21007812215157598,-0.4168846627551266,-0.7871798049153558,-0.9057834635093277,0.7397100424281933,-0.5291477204766616,-0.8487993252172055,-0.8317126055075867,-0.8763955755556496,
ZO=F,0.7321183871229087,0.731387989130125,0.7569696717200504,0.6739748724146544,0.8191844031386779,0.6903523505248256,0.8229319203449464,0.37686662226270695,1.0,0.7969518907053312,0.8702341973331134,0.5666335399409208,0.28140937679737693,0.8076761948642438,0.3049019004825053,0.7540204930572264,0.8837626948301229,0.8882826737967403,0.8655560406100701,0.012399174533316312,0.007714611645250616,0.827147610883762,0.7504477225533912,0.6990606718088795,0.7658719924048273,0.7810115826414078,0.740890353973548,0.6693518869246385,0.7104523180954462,0.6984859800719735,0.20639584074668155,0.6457401668310581,-0.33852444526804554,0.29978442304138003,0.3917535880183883,-0.18152778338734013,0.08393179511637833,0.414864791213111,-0.2995590081551605,-0.3000080474937306,0.07347920039965347,-0.13107208781306673,0.08791291279637918,-0.329616438486193,-0.04134635855665554,-0.21350171428819723,-0.2737991667646791,
SIL=F,0.6844528027840449,0.6820925423143552,0.6849468167516535,0.60353032524889,0.8311171197155702,0.5976681349893673,0.7825331591095224,0.15378484847951507,0.7969518907053312,1.0,0.7512085290497722,0.7780886047574896,0.09015423328584986,0.6367734430900639,0.04077257945322673,0.7788294718927435,0.8326871589512357,0.8106334297160166,0.7470394215430799,-0.20536901604417485,-0.20680041336626553,0.8353443983030383,0.7393934004255374,0.6047918185835336,0.6860557983376359,0.7487013840473481,0.6982362769136444,0.7390744398213744,0.6403591521540973,0.724354048332177,0.005199539082447912,0.6921324075542,-0.19161774307840568,0.1908715843124804,0.6797036940578357,-0.11659036818689908,-0.008763705500259051,0.9999998641654546,-0.06977969012535408,-0.04769383829653526,0.4015101704845167,0.08982499367292396,-0.3299292592727501,-0.06518665749048388,0.2245803798619357,-0.11161615180277634,-0.17854765213687207,
CT=F,0.6533599558932103,0.6537301731817151,0.6628630573536661,0.6169647685261818,0.7963224256888558,0.5338883594100576,0.771045809865559,0.2849611883025756,0.8702341973331134,0.7512085290497722,1.0,0.34271186396456144,0.2351268315080107,0.8438462558199195,0.4517574253248533,0.6574004696041825,0.8675984385948299,0.9030274918445547,0.8393566961159366,0.11464357410269131,0.11239456584447362,0.7993060579426708,0.7434586021591899,0.6181983574885549,0.8070122024490823,0.7699310053311211,0.795789071566401,0.5886026986790118,0.6259356450113535,0.7527829445430049,0.4266963507579304,0.6865459069346914,-0.48807795820379735,0.22277259303697544,0.48314444507548543,-0.22661158372474147,-0.02595960633348513,0.41688241400383136,-0.4938043891457028,-0.4632212395984117,0.06106345825104277,-0.08828275661389662,0.5475471427821599,-0.4692511448002548,0.016804156037531843,-0.22694330293797982,-0.18943869250593318,
MGC=F,0.639298164120913,0.6394247806977243,0.6533482455773797,0.6114866998408484,0.5731148894148751,0.6507254765254045,0.587651543894011,0.4754648629100353,0.5666335399409208,0.7780886047574896,0.34271186396456144,1.0,0.3240411062775354,0.3952339972987286,0.23177113417727274,0.5276462876469672,0.4012780610123621,0.4104118029433437,0.4456945405458008,0.10805909764619984,0.10553457173162471,0.4663152063525633,0.10361740019048546,0.3816147406440501,0.24026923974779968,0.3368173579381025,0.24584749992292745,0.5429686409919138,0.24461402140667074,0.1274290152556762,-0.12520370869403458,0.1165517654999363,0.16575066763881047,-0.05394568536553705,-0.06818683701790801,-0.07726898365870456,-0.13275788888628723,0.06643984008259628,-0.0061268632568994485,-0.13618355453040903,-0.22717729155889116,-0.3405581455747636,0.0788115169902345,-0.252412281135419,-0.32806958031139805,-0.40349584547507034,-0.5239610616583441,
JPY=X,0.6215533366330174,0.6230824206703394,0.5591417546164453,0.5990122683582704,0.46752444565194545,0.3840328073795819,0.33484001287548676,0.7352108144975563,0.28140937679737693,0.09015423328584986,0.2351268315080107,0.3240411062775354,1.0,0.38595883417599486,0.5219893890517346,-0.14729718621782306,-0.056776104063541104,0.0805942378435424,0.10800343398620535,0.2691852188314693,0.26908202215229177,-0.04522616696336765,0.004860588683796547,-0.11752310146956209,-0.046253740745131076,-0.12554165825477076,-0.04766838740267441,-0.04383113240292772,0.050779859453328455,-0.18199563392911652,0.37014470013684875,-0.2909112126423271,0.004558131261507802,0.3507857598405092,-0.441073225424929,0.3873534393545976,0.363349011871294,-0.6478043013246167,-0.5284563767147711,-0.6145849426964219,-0.6919739038266012,-0.7752040287949402,0.7761540998374513,-0.5269702486037184,-0.7964912579323408,-0.43982956847442234,-0.802821234716187,
NG=F,0.5915703182346699,0.5935140059265401,0.5839965903778161,0.557538740243093,0.6581278495479634,0.45181977420854874,0.5622185659839976,0.32701216777710496,0.8076761948642438,0.6367734430900639,0.8438462558199195,0.3952339972987286,0.38595883417599486,1.0,0.4735229427317769,0.5110663521884918,0.7106696657816848,0.7960673480655942,0.8139297726511533,0.16133793010227068,0.1678484890701486,0.7258514409504695,0.6368191837515903,0.5226787260326096,0.7905426087925673,0.669446624025688,0.7615588586256314,0.5510164460849976,0.6528803029028009,0.6961433441296818,0.5013950303568085,0.6361640963430292,-0.5343748502757237,0.3201706936682507,0.39500600488896004,-0.13586411099194817,0.15651699804655997,0.2716263099245292,-0.5504761704932934,-0.5141199312944287,0.03219154861432013,-0.15188140725129393,0.7381192509003575,-0.49094067300686023,-0.03226735113274938,-0.2246417059880356,-0.2166090393495874,
DGS2,0.5689221918206493,0.5714852286037461,0.49700209068789175,0.6529760588610003,0.10539766478165062,0.3711178214432968,0.3769814334119297,0.5108099204992542,0.3049019004825053,0.04077257945322673,0.4517574253248533,0.23177113417727274,0.5219893890517346,0.4735229427317769,1.0,0.044920205223098204,0.2049083406203666,0.19857351486586453,0.20860234977032066,0.8782212003359341,0.8744993784365942,0.10891478298419884,-0.003224466905209042,-0.021865565071497794,0.2978048024182634,0.12080641646776205,0.23525971412011823,0.11506614555154641,0.03125210805647255,0.17479901882652057,0.7434719171726728,0.13262366071067896,-0.442101104507234,-0.05530714616835085,-0.21336799294411266,-0.2793500132547187,-0.1506965177316533,-0.31714492417280626,-0.861203685607991,-0.9560901966303105,-0.5457059742602584,-0.4219686146193495,0.7974507643248103,-0.9984009614054706,-0.45613449155095953,-0.6141143004274051,-0.4953668980944742,
GC=F,0.5315495233225704,0.5319854428540346,0.6109876259024277,0.4915436989893979,0.5736299404121887,0.7139304029179054,0.6442007804524449,0.2892968262705694,0.7540204930572264,0.7788294718927435,0.6574004696041825,0.5276462876469672,-0.14729718621782306,0.5110663521884918,0.044920205223098204,1.0,0.7813473409090943,0.7777370359638323,0.7255081478992395,-0.07906750249685383,-0.08065027693188859,0.7197293015063335,0.6228904714634576,0.7425379568651965,0.6066841593401574,0.7600569991306296,0.5815659794029618,0.5333070221680257,0.5034752543533958,0.5519599380824237,-0.24942487911277272,0.553427336353214,0.0161052931451769,-0.15210089858432135,0.4780076369113745,-0.4729341447414314,-0.3232416047438375,0.6801771307623092,0.16280662389615033,0.09799263789215076,0.18359732629573486,0.0005378929697223457,0.07769355846388493,-0.07656973759634365,0.11841039183115032,-0.2798218596961899,-0.10060869359331867,
HG=F,0.5252573204154029,0.5252177347266724,0.5624302460149321,0.4875108344030659,0.913499916307886,0.5163432422760545,0.7506576553720199,0.03688354680246223,0.8837626948301229,0.8326871589512357,0.8675984385948299,0.4012780610123621,-0.056776104063541104,0.7106696657816848,0.2049083406203666,0.7813473409090943,1.0,0.8886010146391721,0.8613178406677008,-0.03036307703862097,-0.030719371423875853,0.8624160381018066,0.7587422135893525,0.7204374900936575,0.8508918203854317,0.8424734201994123,0.842735240808045,0.7189006948690765,0.7201719462185405,0.8452485664286313,0.22519687878110184,0.8273506564362845,-0.47856520853630163,0.262010521506899,0.5164677641537052,-0.2987056276956512,0.037017762087752606,0.6710924589115371,-0.25049430160814273,-0.19620701730243778,0.3548658659679466,0.20960791579406698,-0.20695056576298057,-0.22426753154357384,0.2961736234824763,0.014552931254801851,0.05170521162113247,
ZL=F,0.5073680267710509,0.5079955552385316,0.5442808127136376,0.43974390145212017,0.7839388512437072,0.47391774020728805,0.708870099160274,0.20583082193679747,0.8882826737967403,0.8106334297160166,0.9030274918445547,0.4104118029433437,0.0805942378435424,0.7960673480655942,0.19857351486586453,0.7777370359638323,0.8886010146391721,1.0,0.936838529579504,-0.1253921600580672,-0.12623533790248637,0.929398817950044,0.8325857579606193,0.7304643852612577,0.8550675081299118,0.9203763264674618,0.8655700323727775,0.6819215388620861,0.7521890261559588,0.8030394544865999,0.1897746974097166,0.7606167434759307,-0.3797614993207623,0.2570998691014519,0.6435194539507989,-0.22758643474861187,0.020357400703919497,0.6315354439429034,-0.22807223441140287,-0.1871559569730087,0.28289581900143096,-0.028682259466042748,0.6199079263862424,-0.21996538779825683,0.20405424956695653,-0.08192982977561179,-0.025173942707170608,
KE=F,0.43787540638176475,0.4386832231887378,0.469083411392296,0.3759955704037391,0.6887115109547401,0.44141442883118553,0.6337637716944868,0.15393540809624645,0.8655560406100701,0.7470394215430799,0.8393566961159366,0.4456945405458008,0.10800343398620535,0.8139297726511533,0.20860234977032066,0.7255081478992395,0.8613178406677008,0.936838529579504,1.0,-0.11198533890910434,-0.1137095953820881,0.919904868584324,0.7391683101317866,0.767017234578662,0.8691202551258831,0.919165173996492,0.8633895554529127,0.7468483332395968,0.773692128079955,0.800145165135447,0.2521429999445614,0.7796702915432131,-0.45814635505456014,0.34552817528462226,0.5237670710096581,-0.17060513867834293,0.11948918106698952,0.603343333497666,-0.26746908331667946,-0.21152485789961495,0.3239881400670545,0.035230770207453535,0.676461966735056,-0.22553769144661948,0.24083098434477,0.012997423424643025,0.011454332236714968,
DGS3MO,0.3614430432638632,0.3644021218181051,0.293866641493704,0.4913285738717019,-0.2980100037869024,0.2616496475873131,0.09879833706825852,0.3788738870408806,0.012399174533316312,-0.20536901604417485,0.11464357410269131,0.10805909764619984,0.2691852188314693,0.16133793010227068,0.8782212003359341,-0.07906750249685383,-0.03036307703862097,-0.1253921600580672,-0.11198533890910434,1.0,0.9995756694815457,-0.17650750483968144,-0.3058939119860523,-0.21381007104029964,0.0660137922551954,-0.11932176106931736,-0.011376500404055533,-0.10465190072114275,-0.18918315104017708,-0.02297266880585964,0.5593070740955813,-0.019818190954683453,-0.29515302762729023,-0.3050342939358452,-0.35654408371260404,-0.4250613102241076,-0.31936978120701526,-0.3649148053342801,-0.6517121557671641,-0.7751699242812263,-0.5359314264794295,-0.27908256230884176,0.632860614921555,-0.8735956788848711,-0.39772810252462354,-0.6153077175707048,-0.36982147508266133,
^IRX,0.357459561625255,0.36304831114485064,0.29260038290674867,0.4895831980026747,-0.28978869995933937,0.258779720854485,0.09688731814762802,0.37162773360669416,0.007714611645250616,-0.20680041336626553,0.11239456584447362,0.10553457173162471,0.26908202215229177,0.1678484890701486,0.8744993784365942,-0.08065027693188859,-0.030719371423875853,-0.12623533790248637,-0.1137095953820881,0.9995756694815457,1.0,-0.1775915335011866,-0.30398691430178304,-0.22575857652169992,0.0676403716770681,-0.12182520687128329,-0.0084771863186563,-0.10427627161678746,-0.18111226440919206,-0.02014282295980724,0.5595052376127436,-0.01607848542464524,-0.2991733611871196,-0.29995953287651234,-0.35462988689118635,-0.4246291168892206,-0.31273847098660307,-0.36389438235140625,-0.6524795782352873,-0.7740763278687538,-0.5326368557452797,-0.2771708447016869,0.5954365562427515,-0.8709880602545798,-0.3936393923798611,-0.6107559103456027,-0.36677313818462476,
ZS=F,0.3530773947626179,0.3535793919515014,0.38895978753747423,0.28807503873243023,0.7690574937586905,0.34711771583895784,0.6225285341266844,0.006939274947465794,0.827147610883762,0.8353443983030383,0.7993060579426708,0.4663152063525633,-0.04522616696336765,0.7258514409504695,0.10891478298419884,0.7197293015063335,0.8624160381018066,0.929398817950044,0.919904868584324,-0.17650750483968144,-0.1775915335011866,1.0,0.7426426465040803,0.7698584725852757,0.8717332367474361,0.9300344811328959,0.8966317544510503,0.8798479339401363,0.8047394414147588,0.8444558339535733,0.19491066171004395,0.8279483477911316,-0.44616789482809815,0.28276472014033677,0.6301952615238567,-0.19230751677208135,0.054677462628086385,0.6939205494896433,-0.18392798909499664,-0.10786642935938612,0.4482366227668196,0.16302228703237628,0.6300427709215459,-0.125634120883509,0.36748743996471017,0.09327787195753018,0.13327754436752987,
KC=F,0.3476774373915361,0.3484061597551988,0.3860203777514395,0.2639412491853875,0.8082745444030747,0.3083041336559783,0.5741821431786551,0.05028616993451216,0.7504477225533912,0.7393934004255374,0.7434586021591899,0.10361740019048546,0.004860588683796547,0.6368191837515903,-0.003224466905209042,0.6228904714634576,0.7587422135893525,0.8325857579606193,0.7391683101317866,-0.3058939119860523,-0.30398691430178304,0.7426426465040803,1.0,0.567174297486221,0.7221076120613176,0.7239068718042416,0.7325613583761711,0.4915332493535889,0.7051316199592096,0.7311509414112434,0.09803035988073291,0.6733354419911612,-0.3400570789166583,0.40249912687580947,0.7297758558769196,-0.08031697222171193,0.2272018766341953,0.5832783951136088,-0.12612202469135472,-0.05208657962001508,0.382345946313949,0.07950148219141116,0.0696848516527718,-0.02169367913495706,0.2897573469859084,0.08105488831347715,0.13268041923861695,
