Date,Open,High,Low,Close*,VOLUME
30-Mar-21,"3,963.34","3,968.01","3,944.35","3,958.55","1,000,000.00"
29-Mar-21,"3,969.31","3,981.83","3,943.25","3,971.09","900,000.00"
26-Mar-21,"3,917.12","3,978.19","3,917.12","3,974.54","800,000.00"
25-Mar-21,"3,879.34","3,919.54","3,853.50","3,909.52","700,000.00"
24-Mar-21,"3,919.93","3,942.08","3,889.07","3,889.14","600,000.00"
23-Mar-21,"3,937.60","3,949.13","3,901.57","3,910.52","500,000.00"
22-Mar-21,"3,916.48","3,955.31","3,914.16","3,940.59","600,000.00"
19-Mar-21,"3,913.14","3,930.12","3,886.75","3,913.10","700,000.00"
18-Mar-21,"3,953.50","3,969.62","3,910.86","3,915.46","800,000.00"
17-Mar-21,"3,949.57","3,983.87","3,935.74","3,974.12","900,000.00"
16-Mar-21,"3,973.59","3,981.04","3,953.44","3,962.71","1,000,000.00"
15-Mar-21,"3,942.96","3,970.08","3,923.54","3,968.94","1,100,000.00"
12-Mar-21,"3,924.52","3,944.99","3,915.21","3,943.34","1,200,000.00"
11-Mar-21,"3,915.54","3,960.27","3,915.54","3,939.34","1,300,000.00"
10-Mar-21,"3,891.99","3,917.35","3,885.73","3,898.81","1,400,000.00"
9-Mar-21,"3,851.93","3,903.76","3,851.93","3,875.44","1,500,000.00"
8-Mar-21,"3,844.39","3,881.06","3,819.25","3,821.35","1,600,000.00"
5-Mar-21,"3,793.58","3,851.69","3,730.19","3,841.94","1,700,000.00"
4-Mar-21,"3,818.53","3,843.67","3,723.34","3,768.47","1,800,000.00"
3-Mar-21,"3,863.99","3,874.47","3,818.86","3,819.72","1,900,000.00"
2-Mar-21,"3,903.64","3,906.41","3,868.57","3,870.29","100,000.00"
1-Mar-21,"3,842.51","3,914.50","3,842.51","3,901.82","200,000.00"
26-Feb-21,"3,839.66","3,861.08","3,789.54","3,811.15","300,000.00"
25-Feb-21,"3,915.80","3,925.02","3,814.04","3,829.34","400,000.00"
24-Feb-21,"3,873.71","3,928.65","3,859.60","3,925.43","500,000.00"
23-Feb-21,"3,857.07","3,895.98","3,805.59","3,881.37","600,000.00"
22-Feb-21,"3,885.55","3,902.92","3,874.71","3,876.50","700,000.00"
19-Feb-21,"3,921.16","3,930.41","3,903.07","3,906.71","600,000.00"
18-Feb-21,"3,915.86","3,921.98","3,885.03","3,913.97","500,000.00"
17-Feb-21,"3,918.50","3,933.61","3,900.43","3,931.33","400,000.00"
16-Feb-21,"3,939.61","3,950.43","3,923.85","3,932.59","300,000.00"
12-Feb-21,"3,911.65","3,937.23","3,905.78","3,934.83","400,000.00"
11-Feb-21,"3,916.40","3,925.99","3,890.39","3,916.38","500,000.00"
10-Feb-21,"3,920.78","3,931.50","3,884.94","3,909.88","600,000.00"
9-Feb-21,"3,910.49","3,918.35","3,902.64","3,911.23","700,000.00"
8-Feb-21,"3,892.59","3,915.77","3,892.59","3,915.59","800,000.00"
5-Feb-21,"3,878.30","3,894.56","3,874.93","3,886.83","900,000.00"
4-Feb-21,"3,836.66","3,872.42","3,836.66","3,871.74","1,000,000.00"
3-Feb-21,"3,840.27","3,847.51","3,816.68","3,830.17","1,100,000.00"
2-Feb-21,"3,791.84","3,843.09","3,791.84","3,826.31","1,000,000.00"
1-Feb-21,"3,731.17","3,784.32","3,725.62","3,773.86","900,000.00"
29-Jan-21,"3,778.05","3,778.05","3,694.12","3,714.24","800,000.00"
28-Jan-21,"3,755.75","3,830.50","3,755.75","3,787.38","700,000.00"
27-Jan-21,"3,836.83","3,836.83","3,732.48","3,750.77","600,000.00"
26-Jan-21,"3,862.96","3,870.90","3,847.78","3,849.62","500,000.00"
25-Jan-21,"3,851.68","3,859.23","3,797.16","3,855.36","600,000.00"
22-Jan-21,"3,844.24","3,852.31","3,830.41","3,841.47","700,000.00"
21-Jan-21,"3,857.46","3,861.45","3,845.05","3,853.07","800,000.00"
20-Jan-21,"3,816.22","3,859.75","3,816.22","3,851.85","900,000.00"
19-Jan-21,"3,781.88","3,804.53","3,780.37","3,798.91","1,000,000.00"
15-Jan-21,"3,788.73","3,788.73","3,749.62","3,768.25","1,100,000.00"
14-Jan-21,"3,814.98","3,823.60","3,792.86","3,795.54","1,200,000.00"
13-Jan-21,"3,802.23","3,820.96","3,791.50","3,809.84","1,300,000.00"
12-Jan-21,"3,801.62","3,810.78","3,776.51","3,801.19","1,400,000.00"
11-Jan-21,"3,803.14","3,817.86","3,789.02","3,799.61","1,500,000.00"
8-Jan-21,"3,815.05","3,826.69","3,783.60","3,824.68","1,600,000.00"
7-Jan-21,"3,764.71","3,811.55","3,764.71","3,803.79","1,700,000.00"
6-Jan-21,"3,712.20","3,783.04","3,705.34","3,748.14","1,800,000.00"
5-Jan-21,"3,698.02","3,737.83","3,695.07","3,726.86","1,900,000.00"
4-Jan-21,"3,764.61","3,769.99","3,662.71","3,700.65","100,000.00"
31-Dec-20,"3,733.27","3,760.20","3,726.88","3,756.07","200,000.00"
30-Dec-20,"3,736.19","3,744.63","3,730.21","3,732.04","300,000.00"
29-Dec-20,"3,750.01","3,756.12","3,723.31","3,727.04","400,000.00"
28-Dec-20,"3,723.03","3,740.51","3,723.03","3,735.36","500,000.00"
24-Dec-20,"3,694.03","3,703.82","3,689.32","3,703.06","600,000.00"
23-Dec-20,"3,693.42","3,711.24","3,689.28","3,690.01","700,000.00"
22-Dec-20,"3,698.08","3,698.26","3,676.16","3,687.26","600,000.00"
21-Dec-20,"3,684.28","3,702.90","3,636.48","3,694.92","500,000.00"
18-Dec-20,"3,722.39","3,726.70","3,685.84","3,709.41","400,000.00"
17-Dec-20,"3,713.65","3,725.12","3,710.87","3,722.48","300,000.00"
16-Dec-20,"3,696.25","3,711.27","3,688.57","3,701.17","400,000.00"
15-Dec-20,"3,666.41","3,695.29","3,659.62","3,694.62","500,000.00"
14-Dec-20,"3,675.27","3,697.61","3,645.84","3,647.49","600,000.00"
11-Dec-20,"3,656.08","3,665.91","3,633.40","3,663.46","700,000.00"
10-Dec-20,"3,659.13","3,678.49","3,645.18","3,668.10","800,000.00"
9-Dec-20,"3,705.98","3,712.39","3,660.54","3,672.82","900,000.00"
8-Dec-20,"3,683.05","3,708.45","3,678.83","3,702.25","1,000,000.00"
7-Dec-20,"3,694.73","3,697.41","3,678.88","3,691.96","1,100,000.00"
4-Dec-20,"3,670.94","3,699.20","3,670.94","3,699.12","1,000,000.00"
3-Dec-20,"3,668.28","3,682.73","3,657.17","3,666.72","900,000.00"
2-Dec-20,"3,653.78","3,670.96","3,644.84","3,669.01","800,000.00"
1-Dec-20,"3,645.87","3,678.45","3,645.87","3,662.45","700,000.00"
30-Nov-20,"3,634.18","3,634.18","3,594.39","3,621.63","600,000.00"
27-Nov-20,"3,638.55","3,644.31","3,629.33","3,638.35","500,000.00"
25-Nov-20,"3,635.50","3,635.50","3,617.76","3,629.65","600,000.00"
24-Nov-20,"3,594.52","3,642.31","3,594.52","3,635.41","700,000.00"
23-Nov-20,"3,566.82","3,589.81","3,552.77","3,577.59","800,000.00"
20-Nov-20,"3,579.31","3,581.23","3,556.85","3,557.54","900,000.00"
19-Nov-20,"3,559.41","3,585.22","3,543.84","3,581.87","1,000,000.00"
18-Nov-20,"3,612.09","3,619.09","3,567.33","3,567.79","1,100,000.00"
17-Nov-20,"3,610.31","3,623.11","3,588.68","3,609.53","1,200,000.00"
16-Nov-20,"3,600.16","3,628.51","3,600.16","3,626.91","1,300,000.00"
13-Nov-20,"3,552.57","3,593.66","3,552.57","3,585.15","1,400,000.00"
12-Nov-20,"3,562.67","3,569.02","3,518.58","3,537.01","1,500,000.00"
11-Nov-20,"3,563.22","3,581.16","3,557.00","3,572.66","1,600,000.00"
10-Nov-20,"3,543.26","3,557.22","3,511.91","3,545.53","1,700,000.00"
9-Nov-20,"3,583.04","3,645.99","3,547.48","3,550.50","1,800,000.00"
6-Nov-20,"3,508.34","3,521.58","3,484.34","3,509.44","1,900,000.00"
5-Nov-20,"3,485.74","3,529.05","3,485.74","3,510.45","100,000.00"
4-Nov-20,"3,406.46","3,486.25","3,405.17","3,443.44","200,000.00"
3-Nov-20,"3,336.25","3,389.49","3,336.25","3,369.16","300,000.00"
2-Nov-20,"3,296.20","3,330.14","3,279.74","3,310.24","400,000.00"
30-Oct-20,"3,293.59","3,304.93","3,233.94","3,269.96","500,000.00"
29-Oct-20,"3,277.17","3,341.05","3,259.82","3,310.11","600,000.00"
28-Oct-20,"3,342.48","3,342.48","3,268.89","3,271.03","700,000.00"
27-Oct-20,"3,403.15","3,409.51","3,388.71","3,390.68","600,000.00"
26-Oct-20,"3,441.42","3,441.42","3,364.86","3,400.97","500,000.00"
23-Oct-20,"3,464.90","3,466.46","3,440.45","3,465.39","400,000.00"
22-Oct-20,"3,438.50","3,460.53","3,415.34","3,453.49","300,000.00"
21-Oct-20,"3,439.91","3,464.86","3,433.06","3,435.56","400,000.00"
20-Oct-20,"3,439.38","3,476.93","3,435.65","3,443.12","500,000.00"
19-Oct-20,"3,493.66","3,502.42","3,419.93","3,426.92","600,000.00"
16-Oct-20,"3,493.50","3,515.76","3,480.45","3,483.81","700,000.00"
15-Oct-20,"3,453.72","3,489.08","3,440.89","3,483.34","800,000.00"
14-Oct-20,"3,515.47","3,527.94","3,480.55","3,488.67","900,000.00"
13-Oct-20,"3,534.01","3,534.01","3,500.86","3,511.93","1,000,000.00"
12-Oct-20,"3,500.02","3,549.85","3,499.61","3,534.22","1,100,000.00"
9-Oct-20,"3,459.67","3,482.34","3,458.07","3,477.14","1,000,000.00"
8-Oct-20,"3,434.28","3,447.28","3,428.15","3,446.83","900,000.00"
7-Oct-20,"3,384.56","3,426.26","3,384.56","3,419.44","800,000.00"
6-Oct-20,"3,408.74","3,431.56","3,354.54","3,360.97","700,000.00"
5-Oct-20,"3,367.27","3,409.57","3,367.27","3,408.60","600,000.00"
2-Oct-20,"3,338.94","3,369.10","3,323.69","3,348.42","500,000.00"
1-Oct-20,"3,385.87","3,397.18","3,361.39","3,380.80","600,000.00"
30-Sep-20,"3,341.21","3,393.56","3,340.47","3,363.00","700,000.00"
29-Sep-20,"3,350.92","3,357.92","3,327.54","3,335.47","800,000.00"
28-Sep-20,"3,333.90","3,360.74","3,332.91","3,351.60","900,000.00"
25-Sep-20,"3,236.66","3,306.88","3,228.44","3,298.46","1,000,000.00"
24-Sep-20,"3,226.14","3,278.70","3,209.45","3,246.59","1,100,000.00"
23-Sep-20,"3,320.11","3,323.35","3,232.57","3,236.92","1,200,000.00"
22-Sep-20,"3,295.75","3,320.31","3,270.95","3,315.57","1,300,000.00"
21-Sep-20,"3,285.57","3,285.57","3,229.10","3,281.06","1,400,000.00"
18-Sep-20,"3,357.38","3,362.27","3,292.40","3,319.47","1,500,000.00"
17-Sep-20,"3,346.86","3,375.17","3,328.82","3,357.01","1,600,000.00"
16-Sep-20,"3,411.23","3,428.92","3,384.45","3,385.49","1,700,000.00"
15-Sep-20,"3,407.73","3,419.48","3,389.25","3,401.20","1,800,000.00"
14-Sep-20,"3,363.56","3,402.93","3,363.56","3,383.54","1,900,000.00"
11-Sep-20,"3,352.70","3,368.95","3,310.47","3,340.97","100,000.00"
10-Sep-20,"3,412.56","3,425.55","3,329.25","3,339.19","200,000.00"
9-Sep-20,"3,369.82","3,424.77","3,366.84","3,398.96","300,000.00"
8-Sep-20,"3,371.88","3,379.97","3,329.27","3,331.84","400,000.00"
4-Sep-20,"3,453.60","3,479.15","3,349.63","3,426.96","500,000.00"
3-Sep-20,"3,564.74","3,564.85","3,427.41","3,455.06","600,000.00"
2-Sep-20,"3,543.76","3,588.11","3,535.23","3,580.84","700,000.00"
1-Sep-20,"3,507.44","3,528.03","3,494.60","3,526.65","600,000.00"
31-Aug-20,"3,509.73","3,514.77","3,493.25","3,500.31","500,000.00"
28-Aug-20,"3,494.69","3,509.23","3,484.32","3,508.01","400,000.00"
27-Aug-20,"3,485.14","3,501.38","3,468.35","3,484.55","300,000.00"
26-Aug-20,"3,449.97","3,481.07","3,444.15","3,478.73","400,000.00"
25-Aug-20,"3,435.95","3,444.21","3,425.84","3,443.62","500,000.00"
24-Aug-20,"3,418.09","3,432.09","3,413.13","3,431.28","600,000.00"
21-Aug-20,"3,386.01","3,399.96","3,379.31","3,397.16","700,000.00"
20-Aug-20,"3,360.48","3,390.80","3,354.69","3,385.51","800,000.00"
19-Aug-20,"3,392.51","3,399.54","3,369.66","3,374.85","900,000.00"
18-Aug-20,"3,387.04","3,395.06","3,370.15","3,389.78","1,000,000.00"
17-Aug-20,"3,380.86","3,387.59","3,379.22","3,381.99","1,100,000.00"
14-Aug-20,"3,368.66","3,378.51","3,361.64","3,372.85","1,000,000.00"
13-Aug-20,"3,372.95","3,387.24","3,363.35","3,373.43","900,000.00"
12-Aug-20,"3,355.46","3,387.89","3,355.46","3,380.35","800,000.00"
11-Aug-20,"3,370.34","3,381.01","3,326.44","3,333.69","700,000.00"
10-Aug-20,"3,356.04","3,363.29","3,335.44","3,360.47","600,000.00"
7-Aug-20,"3,340.05","3,352.54","3,328.72","3,351.28","500,000.00"
6-Aug-20,"3,323.17","3,351.03","3,318.14","3,349.16","600,000.00"
5-Aug-20,"3,317.37","3,330.77","3,317.37","3,327.77","700,000.00"
4-Aug-20,"3,289.92","3,306.84","3,286.37","3,306.51","800,000.00"
3-Aug-20,"3,288.26","3,302.73","3,284.53","3,294.61","900,000.00"
31-Jul-20,"3,270.45","3,272.17","3,220.26","3,271.12","1,000,000.00"
30-Jul-20,"3,231.76","3,250.92","3,204.13","3,246.22","1,100,000.00"
29-Jul-20,"3,227.22","3,264.74","3,227.22","3,258.44","1,200,000.00"
28-Jul-20,"3,234.27","3,243.72","3,216.17","3,218.44","1,300,000.00"
27-Jul-20,"3,219.84","3,241.43","3,214.25","3,239.41","1,400,000.00"
24-Jul-20,"3,218.58","3,227.26","3,200.05","3,215.63","1,500,000.00"
23-Jul-20,"3,271.64","3,279.99","3,222.66","3,235.66","1,600,000.00"
22-Jul-20,"3,254.86","3,279.32","3,253.10","3,276.02","1,700,000.00"
21-Jul-20,"3,268.52","3,277.29","3,247.77","3,257.30","1,800,000.00"
20-Jul-20,"3,224.29","3,258.61","3,215.16","3,251.84","1,900,000.00"
17-Jul-20,"3,224.21","3,233.52","3,205.65","3,224.73","100,000.00"
16-Jul-20,"3,208.36","3,220.39","3,198.59","3,215.57","200,000.00"
15-Jul-20,"3,225.98","3,238.28","3,200.76","3,226.56","300,000.00"
14-Jul-20,"3,141.11","3,200.95","3,127.66","3,197.52","400,000.00"
13-Jul-20,"3,205.08","3,235.32","3,149.43","3,155.22","500,000.00"
10-Jul-20,"3,152.47","3,186.82","3,136.22","3,185.04","600,000.00"
9-Jul-20,"3,176.17","3,179.78","3,115.70","3,152.05","700,000.00"
8-Jul-20,"3,153.07","3,171.80","3,136.53","3,169.94","600,000.00"
7-Jul-20,"3,166.44","3,184.15","3,142.93","3,145.32","500,000.00"
6-Jul-20,"3,155.29","3,182.59","3,155.29","3,179.72","400,000.00"
2-Jul-20,"3,143.64","3,165.81","3,124.52","3,130.01","300,000.00"
1-Jul-20,"3,105.92","3,128.44","3,101.17","3,115.86","400,000.00"
30-Jun-20,"3,050.20","3,111.51","3,047.83","3,100.29","500,000.00"
29-Jun-20,"3,018.59","3,053.89","2,999.74","3,053.24","600,000.00"
26-Jun-20,"3,073.20","3,073.73","3,004.63","3,009.05","700,000.00"
25-Jun-20,"3,046.60","3,086.25","3,024.01","3,083.76","800,000.00"
24-Jun-20,"3,114.40","3,115.01","3,032.13","3,050.33","900,000.00"
23-Jun-20,"3,138.70","3,154.90","3,127.12","3,131.29","1,000,000.00"
22-Jun-20,"3,094.42","3,120.92","3,079.39","3,117.86","1,100,000.00"
19-Jun-20,"3,140.29","3,155.53","3,083.11","3,097.74","1,000,000.00"
18-Jun-20,"3,101.64","3,120.00","3,093.51","3,115.34","900,000.00"
17-Jun-20,"3,136.13","3,141.16","3,108.03","3,113.49","800,000.00"
16-Jun-20,"3,131.00","3,153.45","3,076.06","3,124.74","700,000.00"
15-Jun-20,"2,993.76","3,079.76","2,965.66","3,066.59","600,000.00"
12-Jun-20,"3,071.04","3,088.42","2,984.47","3,041.31","500,000.00"
11-Jun-20,"3,123.53","3,123.53","2,999.49","3,002.10","600,000.00"
10-Jun-20,"3,213.42","3,223.27","3,181.49","3,190.14","700,000.00"
9-Jun-20,"3,213.32","3,222.71","3,193.11","3,207.18","800,000.00"
8-Jun-20,"3,199.92","3,233.13","3,196.00","3,232.39","900,000.00"
5-Jun-20,"3,163.84","3,211.72","3,163.84","3,193.93","1,000,000.00"
4-Jun-20,"3,111.56","3,128.91","3,090.41","3,112.35","1,100,000.00"
3-Jun-20,"3,098.90","3,130.94","3,098.90","3,122.87","1,200,000.00"
2-Jun-20,"3,064.78","3,081.07","3,051.64","3,080.82","1,300,000.00"
1-Jun-20,"3,038.78","3,062.18","3,031.54","3,055.73","1,400,000.00"
29-May-20,"3,025.17","3,049.17","2,998.61","3,044.31","1,500,000.00"
28-May-20,"3,046.61","3,068.67","3,023.40","3,029.73","1,600,000.00"
27-May-20,"3,015.65","3,036.25","2,969.75","3,036.13","1,700,000.00"
26-May-20,"3,004.08","3,021.72","2,988.17","2,991.77","1,800,000.00"
22-May-20,"2,948.05","2,956.76","2,933.59","2,955.45","1,900,000.00"
21-May-20,"2,969.95","2,978.50","2,938.57","2,948.51","100,000.00"
20-May-20,"2,953.63","2,980.29","2,953.63","2,971.61","200,000.00"
19-May-20,"2,948.59","2,964.21","2,922.35","2,922.94","300,000.00"
18-May-20,"2,913.86","2,968.09","2,913.86","2,953.91","400,000.00"
15-May-20,"2,829.95","2,865.01","2,816.78","2,863.70","500,000.00"
14-May-20,"2,794.54","2,852.80","2,766.64","2,852.50","600,000.00"
13-May-20,"2,865.86","2,874.14","2,793.15","2,820.00","700,000.00"
12-May-20,"2,939.50","2,945.82","2,869.59","2,870.12","600,000.00"
11-May-20,"2,915.46","2,944.25","2,903.44","2,930.19","500,000.00"
8-May-20,"2,908.83","2,932.16","2,902.88","2,929.80","400,000.00"
7-May-20,"2,878.26","2,901.92","2,876.48","2,881.19","300,000.00"
6-May-20,"2,883.14","2,891.11","2,847.65","2,848.42","400,000.00"
5-May-20,"2,868.88","2,898.23","2,863.55","2,868.44","500,000.00"
4-May-20,"2,815.01","2,844.24","2,797.85","2,842.74","600,000.00"
1-May-20,"2,869.09","2,869.09","2,821.61","2,830.71","700,000.00"
30-Apr-20,"2,930.91","2,930.91","2,892.47","2,912.43","800,000.00"
29-Apr-20,"2,918.46","2,954.86","2,912.16","2,939.51","900,000.00"
28-Apr-20,"2,909.96","2,921.15","2,860.71","2,863.39","1,000,000.00"
27-Apr-20,"2,854.65","2,887.72","2,852.89","2,878.48","1,100,000.00"
24-Apr-20,"2,812.64","2,842.71","2,791.76","2,836.74","1,000,000.00"
23-Apr-20,"2,810.42","2,844.90","2,794.26","2,797.80","900,000.00"
22-Apr-20,"2,787.89","2,815.10","2,775.95","2,799.31","800,000.00"
21-Apr-20,"2,784.81","2,785.54","2,727.10","2,736.56","700,000.00"
20-Apr-20,"2,845.62","2,868.98","2,820.43","2,823.16","600,000.00"
17-Apr-20,"2,842.43","2,879.22","2,830.88","2,874.56","500,000.00"
16-Apr-20,"2,799.34","2,806.51","2,764.32","2,799.55","600,000.00"
15-Apr-20,"2,795.64","2,801.88","2,761.54","2,783.36","700,000.00"
14-Apr-20,"2,805.10","2,851.85","2,805.10","2,846.06","800,000.00"
13-Apr-20,"2,782.46","2,782.46","2,721.17","2,761.63","900,000.00"
9-Apr-20,"2,776.99","2,818.57","2,762.36","2,789.82","1,000,000.00"
8-Apr-20,"2,685.00","2,760.75","2,663.30","2,749.98","1,100,000.00"
7-Apr-20,"2,738.65","2,756.89","2,657.67","2,659.41","1,200,000.00"
6-Apr-20,"2,578.28","2,676.85","2,574.57","2,663.68","1,300,000.00"
3-Apr-20,"2,514.92","2,538.18","2,459.96","2,488.65","1,400,000.00"
2-Apr-20,"2,458.54","2,533.22","2,455.79","2,526.90","1,500,000.00"
1-Apr-20,"2,498.08","2,522.75","2,447.49","2,470.50","1,600,000.00"
31-Mar-20,"2,614.69","2,641.39","2,571.15","2,584.59","1,700,000.00"
30-Mar-20,"2,558.98","2,631.80","2,545.28","2,626.65","1,800,000.00"
27-Mar-20,"2,555.87","2,615.91","2,520.02","2,541.47","1,900,000.00"
26-Mar-20,"2,501.29","2,637.01","2,500.72","2,630.07","100,000.00"
25-Mar-20,"2,457.77","2,571.42","2,407.53","2,475.56","200,000.00"
24-Mar-20,"2,344.44","2,449.71","2,344.44","2,447.33","300,000.00"
23-Mar-20,"2,290.71","2,300.73","2,191.86","2,237.40","400,000.00"
20-Mar-20,"2,431.94","2,453.01","2,295.56","2,304.92","500,000.00"
19-Mar-20,"2,393.48","2,466.97","2,319.78","2,409.39","600,000.00"
18-Mar-20,"2,436.50","2,453.57","2,280.52","2,398.10","700,000.00"
17-Mar-20,"2,425.66","2,553.93","2,367.04","2,529.19","600,000.00"
16-Mar-20,"2,508.59","2,562.98","2,380.94","2,386.13","500,000.00"
13-Mar-20,"2,569.99","2,711.33","2,492.37","2,711.02","400,000.00"
12-Mar-20,"2,630.86","2,660.95","2,478.86","2,480.64","300,000.00"
11-Mar-20,"2,825.60","2,825.60","2,707.22","2,741.38","400,000.00"
10-Mar-20,"2,813.48","2,882.59","2,734.00","2,882.23","500,000.00"
9-Mar-20,"2,863.89","2,863.89","2,734.43","2,746.56","600,000.00"
6-Mar-20,"2,954.20","2,985.93","2,901.54","2,972.37","700,000.00"
5-Mar-20,"3,075.70","3,083.04","2,999.83","3,023.94","800,000.00"
4-Mar-20,"3,045.75","3,130.97","3,034.38","3,130.12","900,000.00"
3-Mar-20,"3,096.46","3,136.72","2,976.63","3,003.37","1,000,000.00"
2-Mar-20,"2,974.28","3,090.96","2,945.19","3,090.23","1,100,000.00"
28-Feb-20,"2,916.90","2,959.72","2,855.84","2,954.22","1,000,000.00"
27-Feb-20,"3,062.54","3,097.07","2,977.39","2,978.76","900,000.00"
26-Feb-20,"3,139.90","3,182.51","3,108.99","3,116.39","800,000.00"
25-Feb-20,"3,238.94","3,246.99","3,118.77","3,128.21","700,000.00"
24-Feb-20,"3,257.61","3,259.81","3,214.65","3,225.89","600,000.00"
21-Feb-20,"3,360.50","3,360.76","3,328.45","3,337.75","500,000.00"
20-Feb-20,"3,380.45","3,389.15","3,341.02","3,373.23","600,000.00"
19-Feb-20,"3,380.39","3,393.52","3,378.83","3,386.15","700,000.00"
18-Feb-20,"3,369.04","3,375.01","3,355.61","3,370.29","800,000.00"
14-Feb-20,"3,378.08","3,380.69","3,366.15","3,380.16","900,000.00"
13-Feb-20,"3,365.90","3,385.09","3,360.52","3,373.94","1,000,000.00"
12-Feb-20,"3,370.50","3,381.47","3,369.72","3,379.45","1,100,000.00"
11-Feb-20,"3,365.87","3,375.63","3,352.72","3,357.75","1,200,000.00"
10-Feb-20,"3,318.28","3,352.26","3,317.77","3,352.09","1,300,000.00"
7-Feb-20,"3,335.54","3,341.42","3,322.12","3,327.71","1,400,000.00"
6-Feb-20,"3,344.92","3,347.96","3,334.39","3,345.78","1,500,000.00"
5-Feb-20,"3,324.91","3,337.58","3,313.75","3,334.69","1,600,000.00"
4-Feb-20,"3,280.61","3,306.92","3,280.61","3,297.59","1,700,000.00"
3-Feb-20,"3,235.66","3,268.44","3,235.66","3,248.92","1,800,000.00"
